year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
8878084479468850771,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,8878084479468850771,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
7832115993071766254,12,1,232782574247021-42198434155544717-04,Dates.Date,10.0,7832115993071766254,13,1,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
7336814043075155132,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,11.0,7336814043075155132,6,1,-115562838139632-42198434155544718-3689348814741910333,Dates.Date,1
5695177737047254135,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,5695177737047254135,1,1,180956137340747--24113390946025543--3689348814741910342,Dates.Date,1
5445003101084134936,0,14463274975257,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,11.0,5445003101084134936,1,14463274975257,"ArgumentError(""Day: 14463274975257 out of range (1:31)"")",ArgumentError,1
5053816523840745285,-1,530,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,5053816523840745285,0,530,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
2759310817460279677,2,0,"ArgumentError(""Day: 0 out of range (1:28)"")",ArgumentError,11.0,2759310817460279677,2,1,196999252505925-18085043209519164--7378697629483820620,Dates.Date,1
1471618787539003606,0,-5,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1471618787539003606,1,-5,"ArgumentError(""Day: -5 out of range (1:31)"")",ArgumentError,1
1286841351695705876,0,117593177529874,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12.0,1286841351695705876,1,117593177529874,"ArgumentError(""Day: 117593177529874 out of range (1:31)"")",ArgumentError,1
1229081961471077155,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1229081961471077155,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
1066600645002588703,0,-2046084,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,1066600645002588703,1,-2046084,"ArgumentError(""Day: -2046084 out of range (1:31)"")",ArgumentError,1
879117994124134640,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,879117994124134640,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
853182348223336835,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,853182348223336835,1,1,144962363382622-54255129628557500--3689348814741910298,Dates.Date,1
812855096639476865,0,9,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,812855096639476865,1,9,222086663949139-54255129628557504-26,Dates.Date,1
714545622328849207,0,131026938,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,714545622328849207,1,131026938,"ArgumentError(""Day: 131026938 out of range (1:31)"")",ArgumentError,1
560478979366896871,0,176791,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,560478979366896871,1,176791,"ArgumentError(""Day: 176791 out of range (1:31)"")",ArgumentError,1
490612327152632683,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,490612327152632683,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
450841213689786986,0,7993,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,450841213689786986,1,7993,"ArgumentError(""Day: 7993 out of range (1:31)"")",ArgumentError,1
396061608646858700,-1,-369501,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,396061608646858700,0,-369501,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
362633306276987216,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,362633306276987216,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
359915185008842825,4,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,12.0,359915185008842825,4,1,-188815061108244--42198434155544712-3689348814741910317,Dates.Date,1
306768164031695210,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,306768164031695210,1,2,199962008609238-42198434155544721-02,Dates.Date,1
259049617390666819,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,11.0,259049617390666819,1,1,-43442968218032--42198434155544711-3689348814741910301,Dates.Date,1
225480453349210715,12,-24559508,"ArgumentError(""Day: -24559508 out of range (1:31)"")",ArgumentError,5.0,225480453349210715,13,-24559508,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
222083919968058572,0,926557,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,222083919968058572,1,926557,"ArgumentError(""Day: 926557 out of range (1:31)"")",ArgumentError,1
148695920226450222,0,33,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,148695920226450222,1,33,"ArgumentError(""Day: 33 out of range (1:31)"")",ArgumentError,1
142220867286507030,0,25,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,142220867286507030,1,25,-204557706096337-12056695473012771--3689348814741910314,Dates.Date,1
122159877282603597,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,10.0,122159877282603597,1,1,-63359767786527-12056695473012778-7378697629483820658,Dates.Date,1
108047630488943571,0,66226204652,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,108047630488943571,1,66226204652,"ArgumentError(""Day: 66226204652 out of range (1:31)"")",ArgumentError,1
70189627726019844,0,-15362,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,70189627726019844,1,-15362,"ArgumentError(""Day: -15362 out of range (1:31)"")",ArgumentError,1
