bytes,output,type,metric,n_bytes,n_output,n_type,count
-1,-1B,String,1.0,0,0B,String,4159
-10,-10B,String,1.0,-9,-9B,String,1938
-100,-100B,String,1.0,-99,-99B,String,1239
-1000,-1000B,String,1.0,-999,-999B,String,655
-10000,-10000B,String,1.0,-9999,-9999B,String,882
-100000,-100000B,String,1.0,-99999,-99999B,String,457
-1000000,-1000000B,String,1.0,-999999,-999999B,String,668
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,444
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,399
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,345
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,202
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,203
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,177
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,192
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,171
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,192
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,197
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,202
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,169
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,68
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,63
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,35
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,108
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,76
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,50
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,63
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,70
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,57
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,61
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,58
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,34
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,20
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,2
9,9B,String,1.0,10,10B,String,4895
99,99B,String,1.0,100,100B,String,2351
9950,9.9 kB,String,1.0,9951,10.0 kB,String,1265
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,559
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,260
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,233
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,95
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,240
999,999B,String,2.0,1000,1.0 kB,String,1058
99949,99.9 kB,String,1.0,99950,100.0 kB,String,596
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,547
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,235
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,252
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,89
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,251
999949,999.9 kB,String,2.0,999950,1.0 MB,String,826
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,427
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,224
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,242
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,28
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,218
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,77
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,239
false,falseB,String,1.0,true,trueB,String,5085
