year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
55145779561681187,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,55145779561681187,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
27211036070211399,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,27211036070211399,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
938011766077308,0,5129,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,938011766077308,1,5129,"ArgumentError(""Day: 5129 out of range (1:31)"")",ArgumentError,1
24320737397600,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,23.0,24320737397600,1,1,24320737397600-01-01,Dates.Date,1
3877177313771,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,3877177313771,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
2917478043945,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,26.0,2917478043945,1,1,2917478043945-01-01,Dates.Date,1
160752719127,0,-213,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,160752719127,1,-213,"ArgumentError(""Day: -213 out of range (1:31)"")",ArgumentError,1
1387537928,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,1387537928,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
1237556412,0,19729278,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,1237556412,1,19729278,"ArgumentError(""Day: 19729278 out of range (1:31)"")",ArgumentError,1
984641127,-10,-10,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,984641127,-9,-10,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
982323911,2,0,"ArgumentError(""Day: 0 out of range (1:28)"")",ArgumentError,28.0,982323911,2,1,982323911-02-01,Dates.Date,1
237509085,0,-12472,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,237509085,1,-12472,"ArgumentError(""Day: -12472 out of range (1:31)"")",ArgumentError,1
194045535,0,-873093668,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,194045535,1,-873093668,"ArgumentError(""Day: -873093668 out of range (1:31)"")",ArgumentError,1
188866447,0,2707663,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,188866447,1,2707663,"ArgumentError(""Day: 2707663 out of range (1:31)"")",ArgumentError,1
126977594,0,702875804,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,126977594,1,702875804,"ArgumentError(""Day: 702875804 out of range (1:31)"")",ArgumentError,1
