year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
779571510757048000,12,461,"ArgumentError(""Day: 461 out of range (1:31)"")",ArgumentError,1.0,779571510757048000,13,461,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
449435786,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,28.0,449435786,1,1,449435786-01-01,Dates.Date,1
422413756,999999999999999999,1742,"ArgumentError(""Month: 999999999999999999 out of range (1:12)"")",ArgumentError,1.0,422413756,1000000000000000000,1742,"ArgumentError(""Month: 1000000000000000000 out of range (1:12)"")",ArgumentError,1
6648316,9999,1567,"ArgumentError(""Month: 9999 out of range (1:12)"")",ArgumentError,1.0,6648316,10000,1567,"ArgumentError(""Month: 10000 out of range (1:12)"")",ArgumentError,1
51067,0,-165,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,51067,1,-165,"ArgumentError(""Day: -165 out of range (1:31)"")",ArgumentError,1
7212,-100000000,21,"ArgumentError(""Month: -100000000 out of range (1:12)"")",ArgumentError,1.0,7212,-99999999,21,"ArgumentError(""Month: -99999999 out of range (1:12)"")",ArgumentError,1
643,2,0,"ArgumentError(""Day: 0 out of range (1:28)"")",ArgumentError,33.0,643,2,1,0643-02-01,Dates.Date,1
45,-1,29,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,45,0,29,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
7,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,7,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
6,0,1663,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,6,1,1663,"ArgumentError(""Day: 1663 out of range (1:31)"")",ArgumentError,1
5,99,1,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,5,100,1,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
2,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,33.0,2,3,1,0002-03-01,Dates.Date,1
2,-1,-1777,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,2,0,-1777,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
1,9999,144,"ArgumentError(""Month: 9999 out of range (1:12)"")",ArgumentError,1.0,1,10000,144,"ArgumentError(""Month: 10000 out of range (1:12)"")",ArgumentError,1
1,99,-269,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,1,100,-269,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
0,12,58,"ArgumentError(""Day: 58 out of range (1:31)"")",ArgumentError,2.0,0,13,58,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
0,0,3,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,0,1,3,0000-01-03,Dates.Date,1
-128,0,11886756,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,-128,1,11886756,"ArgumentError(""Day: 11886756 out of range (1:31)"")",ArgumentError,1
-4415621,-1,-5575,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-4415621,0,-5575,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-7747877,0,59,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-7747877,1,59,"ArgumentError(""Day: 59 out of range (1:31)"")",ArgumentError,1
-45558030872340911,12,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,2.0,-45558030872340911,13,-2,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
