year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
81382177,0,-2062,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,81382177,1,-2062,"ArgumentError(""Day: -2062 out of range (1:31)"")",ArgumentError,1
47610141,-1000000,14,"ArgumentError(""Month: -1000000 out of range (1:12)"")",ArgumentError,1.0,47610141,-999999,14,"ArgumentError(""Month: -999999 out of range (1:12)"")",ArgumentError,1
45563821,5,31,45563821-05-31,Dates.Date,30.0,45563821,5,32,"ArgumentError(""Day: 32 out of range (1:31)"")",ArgumentError,1
21475283,-10,31,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,21475283,-9,31,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
7159,-10,123,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,7159,-9,123,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
71,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,71,1,1,0071-01-01,Dates.Date,1
54,0,-4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,54,1,-4,"ArgumentError(""Day: -4 out of range (1:31)"")",ArgumentError,1
35,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,35,1,2,0035-01-02,Dates.Date,1
3,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,33.0,3,6,1,0003-06-01,Dates.Date,1
1,-1,-53,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,1,0,-53,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
0,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,33.0,0,6,1,0000-06-01,Dates.Date,1
0,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,0,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
-3,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,32.0,-3,3,1,-0003-03-01,Dates.Date,1
-4,12,171,"ArgumentError(""Day: 171 out of range (1:31)"")",ArgumentError,1.0,-4,13,171,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
-61,-10000,-40,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,-61,-9999,-40,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
-197,0,10,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,34.0,-197,1,10,-0197-01-10,Dates.Date,1
-994,999999999999,-2297722,"ArgumentError(""Month: 999999999999 out of range (1:12)"")",ArgumentError,1.0,-994,1000000000000,-2297722,"ArgumentError(""Month: 1000000000000 out of range (1:12)"")",ArgumentError,1
-10030,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,33.0,-10030,1,2,-10030-01-02,Dates.Date,1
