bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,140
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,445
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,54
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,168
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,168
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,451
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,482
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,463
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,441
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,464
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,465
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,476
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,463
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,479
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,882
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,1073
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,1131
999949,999.9 kB,String,2.0,999950,1.0 MB,String,1482
99949,99.9 kB,String,1.0,99950,100.0 kB,String,1166
9950,9.9 kB,String,1.0,9951,10.0 kB,String,2338
999,999B,String,2.0,1000,1.0 kB,String,2009
99,99B,String,1.0,100,100B,String,4405
9,9B,String,1.0,10,10B,String,9328
false,falseB,String,1.0,true,trueB,String,9340
-1,-1B,String,1.0,0,0B,String,7964
-10,-10B,String,1.0,-9,-9B,String,3567
-100,-100B,String,1.0,-99,-99B,String,2305
-1000,-1000B,String,1.0,-999,-999B,String,1230
-10000,-10000B,String,1.0,-9999,-9999B,String,1690
-100000,-100000B,String,1.0,-99999,-99999B,String,841
-1000000,-1000000B,String,1.0,-999999,-999999B,String,1179
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,855
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,771
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,591
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,343
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,364
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,406
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,378
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,360
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,350
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,385
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,353
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,318
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,125
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,103
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,73
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,181
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,115
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,94
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,126
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,118
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,118
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,124
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,120
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,65
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,29
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,8
