year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
514430039,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,514430039,1,-8,"ArgumentError(""Day: -8 out of range (1:31)"")",ArgumentError,1
2212708,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,2212708,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
48806,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,32.0,48806,1,1,48806-01-01,Dates.Date,1
23180,99,6,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,23180,100,6,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
9045,0,4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,9045,1,4,9045-01-04,Dates.Date,1
7866,-10000,-3646474324888,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,7866,-9999,-3646474324888,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
5933,999999,29615,"ArgumentError(""Month: 999999 out of range (1:12)"")",ArgumentError,1.0,5933,1000000,29615,"ArgumentError(""Month: 1000000 out of range (1:12)"")",ArgumentError,1
5190,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,33.0,5190,1,1,5190-01-01,Dates.Date,1
1265,0,57,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1265,1,57,"ArgumentError(""Day: 57 out of range (1:31)"")",ArgumentError,1
936,0,8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,936,1,8,0936-01-08,Dates.Date,1
613,-100000,10,"ArgumentError(""Month: -100000 out of range (1:12)"")",ArgumentError,1.0,613,-99999,10,"ArgumentError(""Month: -99999 out of range (1:12)"")",ArgumentError,1
410,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,410,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
152,0,-1135,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,152,1,-1135,"ArgumentError(""Day: -1135 out of range (1:31)"")",ArgumentError,1
43,10,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,33.0,43,10,1,0043-10-01,Dates.Date,1
23,99999999,1,"ArgumentError(""Month: 99999999 out of range (1:12)"")",ArgumentError,1.0,23,100000000,1,"ArgumentError(""Month: 100000000 out of range (1:12)"")",ArgumentError,1
11,0,-28264091941938,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12.0,11,1,-28264091941938,"ArgumentError(""Day: -28264091941938 out of range (1:31)"")",ArgumentError,1
0,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,0,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
0,0,43,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,0,1,43,"ArgumentError(""Day: 43 out of range (1:31)"")",ArgumentError,1
0,0,-4354,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,0,1,-4354,"ArgumentError(""Day: -4354 out of range (1:31)"")",ArgumentError,1
0,-10,-1,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,0,-9,-1,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-3,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-3,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
-8,0,44491,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-8,1,44491,"ArgumentError(""Day: 44491 out of range (1:31)"")",ArgumentError,1
-56,12,-40,"ArgumentError(""Day: -40 out of range (1:31)"")",ArgumentError,1.0,-56,13,-40,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
