bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,138
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,444
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,57
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,157
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,172
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,449
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,463
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,464
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,432
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,486
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,495
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,507
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,461
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,455
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,846
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,1057
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,1119
999949,999.9 kB,String,2.0,999950,1.0 MB,String,1357
99949,99.9 kB,String,1.0,99950,100.0 kB,String,1114
9950,9.9 kB,String,1.0,9951,10.0 kB,String,2314
999,999B,String,2.0,1000,1.0 kB,String,2031
99,99B,String,1.0,100,100B,String,4493
9,9B,String,1.0,10,10B,String,9218
false,falseB,String,1.0,true,trueB,String,9529
-1,-1B,String,1.0,0,0B,String,8042
-10,-10B,String,1.0,-9,-9B,String,3733
-100,-100B,String,1.0,-99,-99B,String,2232
-1000,-1000B,String,1.0,-999,-999B,String,1144
-10000,-10000B,String,1.0,-9999,-9999B,String,1711
-100000,-100000B,String,1.0,-99999,-99999B,String,839
-1000000,-1000000B,String,1.0,-999999,-999999B,String,1156
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,822
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,878
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,663
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,363
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,345
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,407
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,378
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,362
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,367
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,334
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,364
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,328
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,126
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,131
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,79
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,181
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,127
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,132
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,115
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,115
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,122
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,108
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,115
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,98
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,31
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,7
