bytes,output,type,metric,n_bytes,n_output,n_type,count
999949,999.9 kB,String,2.0,999950,1.0 MB,String,2
99949,99.9 kB,String,1.0,99950,100.0 kB,String,3
9950,9.9 kB,String,1.0,9951,10.0 kB,String,39
999,999B,String,2.0,1000,1.0 kB,String,620
99,99B,String,1.0,100,100B,String,8434
9,9B,String,1.0,10,10B,String,79639
false,falseB,String,1.0,true,trueB,String,941445
-1,-1B,String,1.0,0,0B,String,453006
-10,-10B,String,1.0,-9,-9B,String,27579
-100,-100B,String,1.0,-99,-99B,String,2613
-1000,-1000B,String,1.0,-999,-999B,String,236
-10000,-10000B,String,1.0,-9999,-9999B,String,14
-100000,-100000B,String,1.0,-99999,-99999B,String,1
