h,w,output,type,metric,n_h,n_w,n_output,n_type,count
1147912696363021101,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1147912696363021101,0,Underweight,String,1
532257644380132964,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,532257644380132964,0,Underweight,String,1
175302732676087530,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,175302732676087530,0,Underweight,String,1
41640669222054421,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,41640669222054421,0,Underweight,String,1
34244251760374588,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,34244251760374588,0,Underweight,String,1
26001395562411517,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,26001395562411517,0,Underweight,String,1
24098603434734371,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,24098603434734371,0,Underweight,String,1
18766976638962126,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,18766976638962126,0,Underweight,String,1
9516941100136793,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,9516941100136793,0,Underweight,String,1
8370346599913404,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8370346599913404,0,Underweight,String,1
3482499750352450,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3482499750352450,0,Underweight,String,1
378242136477684,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,378242136477684,0,Underweight,String,1
96593438580819,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,96593438580819,0,Underweight,String,1
63568306036120,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,63568306036120,0,Underweight,String,1
52911617030905,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,52911617030905,0,Underweight,String,1
15326862875874,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,15326862875874,0,Underweight,String,1
