h,w,output,type,metric,n_h,n_w,n_output,n_type,count
5868649504165772995,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5868649504165772995,0,0.0,String,1
3983111785395428002,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3983111785395428002,0,0.0,String,1
506642882191356328,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,506642882191356328,0,0.0,String,1
165578362018079655,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,165578362018079655,0,0.0,String,1
164191012388333921,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,164191012388333921,0,0.0,String,1
21160409804942635,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,21160409804942635,0,0.0,String,1
4388650314967316,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4388650314967316,0,0.0,String,1
1904423996628005,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1904423996628005,0,0.0,String,1
1230263789989781,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1230263789989781,0,0.0,String,1
929616527442073,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,929616527442073,0,0.0,String,1
428626490639360,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,428626490639360,0,0.0,String,1
254610476263586,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,254610476263586,0,0.0,String,1
190063734507902,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,190063734507902,0,0.0,String,1
170784994629282,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,170784994629282,0,0.0,String,1
66076842708315,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,66076842708315,0,0.0,String,1
34004026491325,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,34004026491325,0,0.0,String,1
17379653894604,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,17379653894604,0,0.0,String,1
10187127085419,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10187127085419,0,0.0,String,1
4595169230420,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4595169230420,0,0.0,String,1
1749627007620,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1749627007620,0,0.0,String,1
1430968198733,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1430968198733,0,0.0,String,1
102124745649,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,102124745649,0,0.0,String,1
51571305308,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,51571305308,0,0.0,String,1
50049933087,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,50049933087,0,0.0,String,1
15524237245,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,15524237245,0,0.0,String,1
5652807950,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5652807950,0,0.0,String,1
3064468602,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3064468602,0,0.0,String,1
2130977179,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2130977179,0,0.0,String,1
1776249830,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1776249830,0,0.0,String,1
1329692477,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1329692477,0,0.0,String,1
1105329249,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1105329249,0,0.0,String,1
499058643,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,499058643,0,0.0,String,1
498465959,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,498465959,0,0.0,String,1
493628879,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,493628879,0,0.0,String,1
387786579,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,387786579,0,0.0,String,1
361056986,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,361056986,0,0.0,String,1
266481924,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,266481924,0,0.0,String,1
224286591,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,224286591,0,0.0,String,1
220439878,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,220439878,0,0.0,String,1
216770981,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,216770981,0,0.0,String,1
202279889,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,202279889,0,0.0,String,1
164231709,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,164231709,0,0.0,String,1
148410428,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,148410428,0,0.0,String,1
123621860,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,123621860,0,0.0,String,1
90154317,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,90154317,0,0.0,String,1
89589119,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,89589119,0,0.0,String,1
80135959,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,80135959,0,0.0,String,1
75469865,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,75469865,0,0.0,String,1
67585121,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,67585121,0,0.0,String,1
45906074,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,45906074,0,0.0,String,1
38462639,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,38462639,0,0.0,String,1
36554100,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,36554100,0,0.0,String,1
34342768,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,34342768,0,0.0,String,1
33397071,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,33397071,0,0.0,String,1
25858186,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,25858186,0,0.0,String,1
22723456,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,22723456,0,0.0,String,1
17977960,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,17977960,0,0.0,String,1
14098779,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,14098779,0,0.0,String,1
12931212,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,12931212,0,0.0,String,1
12836789,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,12836789,0,0.0,String,1
11545389,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,11545389,0,0.0,String,1
11292249,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,11292249,0,0.0,String,1
