h,w,output,type,metric,n_h,n_w,n_output,n_type,count
525206704360911338,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,525206704360911338,0,Underweight,String,1
497959354367244270,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,497959354367244270,0,Underweight,String,1
489106283721075869,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,489106283721075869,0,Underweight,String,1
463469746705757235,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,463469746705757235,0,Underweight,String,1
442561058557962864,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,442561058557962864,0,Underweight,String,1
415793637721556249,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,415793637721556249,0,Underweight,String,1
400276217032695468,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,400276217032695468,0,Underweight,String,1
378945875993494909,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,378945875993494909,0,Underweight,String,1
334823899420616094,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,334823899420616094,0,Underweight,String,1
333384024521397882,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,333384024521397882,0,Underweight,String,1
326994374263600145,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,326994374263600145,0,Underweight,String,1
307084844068102105,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,307084844068102105,0,Underweight,String,1
285140569220647607,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,285140569220647607,0,Underweight,String,1
283099173191958097,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,283099173191958097,0,Underweight,String,1
250119328517608492,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,250119328517608492,0,Underweight,String,1
237607444109781218,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,237607444109781218,0,Underweight,String,1
232090070031246009,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,232090070031246009,0,Underweight,String,1
227108045374390841,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,227108045374390841,0,Underweight,String,1
213915433727901254,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,213915433727901254,0,Underweight,String,1
191693741655275728,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,191693741655275728,0,Underweight,String,1
190022455943749602,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,190022455943749602,0,Underweight,String,1
178489183973385872,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,178489183973385872,0,Underweight,String,1
170072452210022684,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,170072452210022684,0,Underweight,String,1
