year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
1505686441,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1505686441,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
112514795,0,14673270,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,112514795,1,14673270,"ArgumentError(""Day: 14673270 out of range (1:31)"")",ArgumentError,1
109857200,0,1865,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,109857200,1,1865,"ArgumentError(""Day: 1865 out of range (1:31)"")",ArgumentError,1
31156550,99999,964337,"ArgumentError(""Month: 99999 out of range (1:12)"")",ArgumentError,1.0,31156550,100000,964337,"ArgumentError(""Month: 100000 out of range (1:12)"")",ArgumentError,1
22519731,0,8383,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,22519731,1,8383,"ArgumentError(""Day: 8383 out of range (1:31)"")",ArgumentError,1
101572,0,246656,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,101572,1,246656,"ArgumentError(""Day: 246656 out of range (1:31)"")",ArgumentError,1
44817,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,32.0,44817,1,1,44817-01-01,Dates.Date,1
7627,-10,21365038,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,7627,-9,21365038,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
7479,-10,0,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,7479,-9,0,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
348,12,-23,"ArgumentError(""Day: -23 out of range (1:31)"")",ArgumentError,1.0,348,13,-23,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
278,-100000,59,"ArgumentError(""Month: -100000 out of range (1:12)"")",ArgumentError,1.0,278,-99999,59,"ArgumentError(""Month: -99999 out of range (1:12)"")",ArgumentError,1
81,-1,-4,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,81,0,-4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
10,-1,-657,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,10,0,-657,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
4,0,41252,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,4,1,41252,"ArgumentError(""Day: 41252 out of range (1:31)"")",ArgumentError,1
1,5,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,1,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
1,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,1,1,2,0001-01-02,Dates.Date,1
0,999999999,109,"ArgumentError(""Month: 999999999 out of range (1:12)"")",ArgumentError,1.0,0,1000000000,109,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",ArgumentError,1
0,2,0,"ArgumentError(""Day: 0 out of range (1:29)"")",ArgumentError,33.0,0,2,1,0000-02-01,Dates.Date,1
0,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,0,1,2,0000-01-02,Dates.Date,1
-11465488,999999,1,"ArgumentError(""Month: 999999 out of range (1:12)"")",ArgumentError,1.0,-11465488,1000000,1,"ArgumentError(""Month: 1000000 out of range (1:12)"")",ArgumentError,1
-178217612,0,78893,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-178217612,1,78893,"ArgumentError(""Day: 78893 out of range (1:31)"")",ArgumentError,1
-3610522909884824519,4,99,"ArgumentError(""Day: 99 out of range (1:30)"")",ArgumentError,1.0,-3610522909884824519,4,100,"ArgumentError(""Day: 100 out of range (1:30)"")",ArgumentError,1
