year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
255481880,0,1073,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,255481880,1,1073,"ArgumentError(""Day: 1073 out of range (1:31)"")",ArgumentError,1
28603325,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,31.0,28603325,1,1,28603325-01-01,Dates.Date,1
7030,999999999,2699836,"ArgumentError(""Month: 999999999 out of range (1:12)"")",ArgumentError,1.0,7030,1000000000,2699836,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",ArgumentError,1
1708,12,-53,"ArgumentError(""Day: -53 out of range (1:31)"")",ArgumentError,1.0,1708,13,-53,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
1460,0,6749,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1460,1,6749,"ArgumentError(""Day: 6749 out of range (1:31)"")",ArgumentError,1
1071,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1071,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
1008,999999999,-1274,"ArgumentError(""Month: 999999999 out of range (1:12)"")",ArgumentError,1.0,1008,1000000000,-1274,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",ArgumentError,1
665,12,211,"ArgumentError(""Day: 211 out of range (1:31)"")",ArgumentError,1.0,665,13,211,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
638,-1,-63,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,638,0,-63,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
341,10,-10000000000000,"ArgumentError(""Day: -10000000000000 out of range (1:31)"")",ArgumentError,1.0,341,10,-9999999999999,"ArgumentError(""Day: -9999999999999 out of range (1:31)"")",ArgumentError,1
33,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,33.0,33,6,1,0033-06-01,Dates.Date,1
27,999,-15,"ArgumentError(""Month: 999 out of range (1:12)"")",ArgumentError,1.0,27,1000,-15,"ArgumentError(""Month: 1000 out of range (1:12)"")",ArgumentError,1
7,9999999,2,"ArgumentError(""Month: 9999999 out of range (1:12)"")",ArgumentError,1.0,7,10000000,2,"ArgumentError(""Month: 10000000 out of range (1:12)"")",ArgumentError,1
1,0,-9676898,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,1,1,-9676898,"ArgumentError(""Day: -9676898 out of range (1:31)"")",ArgumentError,1
1,-1,1,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,1,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
0,12,736217,"ArgumentError(""Day: 736217 out of range (1:31)"")",ArgumentError,2.0,0,13,736217,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
0,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,33.0,0,5,1,0000-05-01,Dates.Date,1
0,-10,14,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,0,-9,14,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,9,3,-0001-09-03,Dates.Date,1.0,0,9,3,0000-09-03,Dates.Date,1
-5,-10,33387050,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-5,-9,33387050,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-9,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-9,1,-8,"ArgumentError(""Day: -8 out of range (1:31)"")",ArgumentError,1
-23838084493,99,1,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,-23838084493,100,1,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
