year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
4497616647452235388,0,-1339,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,4497616647452235388,1,-1339,"ArgumentError(""Day: -1339 out of range (1:31)"")",ArgumentError,1
1046491174512191137,0,52,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1046491174512191137,1,52,"ArgumentError(""Day: 52 out of range (1:31)"")",ArgumentError,1
1004119715551676012,0,13574,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1004119715551676012,1,13574,"ArgumentError(""Day: 13574 out of range (1:31)"")",ArgumentError,1
923022461252290592,0,11435,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,923022461252290592,1,11435,"ArgumentError(""Day: 11435 out of range (1:31)"")",ArgumentError,1
247417551201462192,12,3,-59251090650043--60283477365063879--21,Dates.Date,8.0,247417551201462192,13,3,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
158623842885908236,0,8222468,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,158623842885908236,1,8222468,"ArgumentError(""Day: 8222468 out of range (1:31)"")",ArgumentError,1
157420406302910516,-100,0,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,157420406302910516,-99,0,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,1
100852558698970536,2,0,"ArgumentError(""Day: 0 out of range (1:29)"")",ArgumentError,21.0,100852558698970536,2,1,-158381012095683-10-20,Dates.Date,1
8025618396444141,999999999,0,"ArgumentError(""Month: 999999999 out of range (1:12)"")",ArgumentError,1.0,8025618396444141,1000000000,0,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",ArgumentError,1
5513269811350185,0,-248,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,5513269811350185,1,-248,"ArgumentError(""Day: -248 out of range (1:31)"")",ArgumentError,1
4737329017751772,12,19472459,"ArgumentError(""Day: 19472459 out of range (1:31)"")",ArgumentError,4.0,4737329017751772,13,19472459,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
1631205621285073,12,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,7.0,1631205621285073,12,1,116041525619081-18085043209519164-30,Dates.Date,1
427845557083191,-10,5045,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,427845557083191,-9,5045,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
319424728451570,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,319424728451570,1,1,-185629970103761-6028347736506389-11,Dates.Date,1
143301169559828,0,-4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,143301169559828,1,-4,"ArgumentError(""Day: -4 out of range (1:31)"")",ArgumentError,1
138348433068219,0,39,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,138348433068219,1,39,"ArgumentError(""Day: 39 out of range (1:31)"")",ArgumentError,1
45446507536664,-1000,-27,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,45446507536664,-999,-27,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
31380062850608,-1,891,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,31380062850608,0,891,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
16118555249134,-10,29,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,16118555249134,-9,29,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
5961634318480,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,5961634318480,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
5844452744992,-1000,56,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,5844452744992,-999,56,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
19468543289,12,-122897089,"ArgumentError(""Day: -122897089 out of range (1:31)"")",ArgumentError,6.0,19468543289,13,-122897089,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
2577024805,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,2577024805,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
1899548941,12,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,2.0,1899548941,13,-1,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
1705864671,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,27.0,1705864671,1,1,1705864671-01-01,Dates.Date,1
1694272549,0,-2381,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1694272549,1,-2381,"ArgumentError(""Day: -2381 out of range (1:31)"")",ArgumentError,1
1537075241,9999,10,"ArgumentError(""Month: 9999 out of range (1:12)"")",ArgumentError,1.0,1537075241,10000,10,"ArgumentError(""Month: 10000 out of range (1:12)"")",ArgumentError,1
1427127832,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,27.0,1427127832,6,1,1427127832-06-01,Dates.Date,1
969429333,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,969429333,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
836109782,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,30.0,836109782,1,1,836109782-01-01,Dates.Date,1
691643727,-10000000,-53,"ArgumentError(""Month: -10000000 out of range (1:12)"")",ArgumentError,1.0,691643727,-9999999,-53,"ArgumentError(""Month: -9999999 out of range (1:12)"")",ArgumentError,1
575455152,0,13861068945,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,575455152,1,13861068945,"ArgumentError(""Day: 13861068945 out of range (1:31)"")",ArgumentError,1
512527469,0,-485,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,512527469,1,-485,"ArgumentError(""Day: -485 out of range (1:31)"")",ArgumentError,1
503763972,9999,11,"ArgumentError(""Month: 9999 out of range (1:12)"")",ArgumentError,1.0,503763972,10000,11,"ArgumentError(""Month: 10000 out of range (1:12)"")",ArgumentError,1
457454712,0,6,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,30.0,457454712,1,6,457454712-01-06,Dates.Date,1
416517825,5,999,"ArgumentError(""Day: 999 out of range (1:31)"")",ArgumentError,1.0,416517825,5,1000,"ArgumentError(""Day: 1000 out of range (1:31)"")",ArgumentError,1
406206751,999,2,"ArgumentError(""Month: 999 out of range (1:12)"")",ArgumentError,1.0,406206751,1000,2,"ArgumentError(""Month: 1000 out of range (1:12)"")",ArgumentError,1
282830127,-10000,1,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,282830127,-9999,1,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
267392615,-10000,30089,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,267392615,-9999,30089,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
216923654,0,1712453061901272,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,13.0,216923654,1,1712453061901272,"ArgumentError(""Day: 1712453061901272 out of range (1:31)"")",ArgumentError,1
204247223,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,204247223,1,-8,"ArgumentError(""Day: -8 out of range (1:31)"")",ArgumentError,1
181071612,12,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,28.0,181071612,12,1,181071612-12-01,Dates.Date,1
173748087,0,131018231,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,173748087,1,131018231,"ArgumentError(""Day: 131018231 out of range (1:31)"")",ArgumentError,1
165829644,0,63952737,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,165829644,1,63952737,"ArgumentError(""Day: 63952737 out of range (1:31)"")",ArgumentError,1
118142516,0,7079,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,118142516,1,7079,"ArgumentError(""Day: 7079 out of range (1:31)"")",ArgumentError,1
84443240,99,1457807231,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,84443240,100,1457807231,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
69576207,0,53,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,69576207,1,53,"ArgumentError(""Day: 53 out of range (1:31)"")",ArgumentError,1
65632302,0,1991796720362,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,65632302,1,1991796720362,"ArgumentError(""Day: 1991796720362 out of range (1:31)"")",ArgumentError,1
64229289,0,5363066072972,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,64229289,1,5363066072972,"ArgumentError(""Day: 5363066072972 out of range (1:31)"")",ArgumentError,1
58111336,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,58111336,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
48255807,12,-17,"ArgumentError(""Day: -17 out of range (1:31)"")",ArgumentError,1.0,48255807,13,-17,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
45742703,-10000,0,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,45742703,-9999,0,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
36968655,99,0,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,36968655,100,0,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
32850750,12,1,32850750-12-01,Dates.Date,32.0,32850750,13,1,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
31624982,12,28534,"ArgumentError(""Day: 28534 out of range (1:31)"")",ArgumentError,1.0,31624982,13,28534,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
30966911,7,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,29.0,30966911,7,1,30966911-07-01,Dates.Date,1
30489288,-1000000000000,-16,"ArgumentError(""Month: -1000000000000 out of range (1:12)"")",ArgumentError,1.0,30489288,-999999999999,-16,"ArgumentError(""Month: -999999999999 out of range (1:12)"")",ArgumentError,1
29647486,0,328374215,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,29647486,1,328374215,"ArgumentError(""Day: 328374215 out of range (1:31)"")",ArgumentError,1
28503573,0,-5,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,28503573,1,-5,"ArgumentError(""Day: -5 out of range (1:31)"")",ArgumentError,1
28010976,0,12517,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,28010976,1,12517,"ArgumentError(""Day: 12517 out of range (1:31)"")",ArgumentError,1
27329154,0,12,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,31.0,27329154,1,12,27329154-01-12,Dates.Date,1
21477739,12,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,3.0,21477739,13,0,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
21338738,4,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,29.0,21338738,4,1,21338738-04-01,Dates.Date,1
20782421,0,6325,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,20782421,1,6325,"ArgumentError(""Day: 6325 out of range (1:31)"")",ArgumentError,1
20503434,0,-15410526768879938,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,15.0,20503434,1,-15410526768879938,"ArgumentError(""Day: -15410526768879938 out of range (1:31)"")",ArgumentError,1
17876864,999999,-1,"ArgumentError(""Month: 999999 out of range (1:12)"")",ArgumentError,1.0,17876864,1000000,-1,"ArgumentError(""Month: 1000000 out of range (1:12)"")",ArgumentError,1
17799477,-1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,17799477,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
15219755,0,21774179,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,15219755,1,21774179,"ArgumentError(""Day: 21774179 out of range (1:31)"")",ArgumentError,1
14456267,0,23,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,31.0,14456267,1,23,14456267-01-23,Dates.Date,1
14062723,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,14062723,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
12767460,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,12767460,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
