bytes,output,type,metric,n_bytes,n_output,n_type,count
99949,99.9 kB,String,1.0,99950,100.0 kB,String,4
9950,9.9 kB,String,1.0,9951,10.0 kB,String,28
999,999B,String,2.0,1000,1.0 kB,String,611
99,99B,String,1.0,100,100B,String,8238
9,9B,String,1.0,10,10B,String,78170
false,falseB,String,1.0,true,trueB,String,933234
-1,-1B,String,1.0,0,0B,String,450091
-10,-10B,String,1.0,-9,-9B,String,27293
-100,-100B,String,1.0,-99,-99B,String,2647
-1000,-1000B,String,1.0,-999,-999B,String,205
-10000,-10000B,String,1.0,-9999,-9999B,String,9
-100000,-100000B,String,1.0,-99999,-99999B,String,1
-1000000,-1000000B,String,1.0,-999999,-999999B,String,1
