year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
28449680708332304,-1,2,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,28449680708332304,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
26137905469380429,-1,73121965505,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,26137905469380429,0,73121965505,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
24548911537005609,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,24548911537005609,1,1,-198768692205614-54255129628557500-7378697629483820649,Dates.Date,1
22473292696534716,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,22473292696534716,1,-8,"ArgumentError(""Day: -8 out of range (1:31)"")",ArgumentError,1
15145867324379079,9,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,10.0,15145867324379079,9,1,-5773632280854--60283477365063882-7378697629483820644,Dates.Date,1
13481852449583868,12,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,11.0,13481852449583868,12,1,-154624411410070-42198434155544720-3689348814741910335,Dates.Date,1
12773370594967919,0,1022267,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,12773370594967919,1,1022267,"ArgumentError(""Day: 1022267 out of range (1:31)"")",ArgumentError,1
7400827516894270,0,-9,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,7400827516894270,1,-9,"ArgumentError(""Day: -9 out of range (1:31)"")",ArgumentError,1
7268195725159498,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,7268195725159498,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
7142047510942193,0,-154,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,7142047510942193,1,-154,"ArgumentError(""Day: -154 out of range (1:31)"")",ArgumentError,1
7075663386857149,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,9.0,7075663386857149,3,1,4897607082513--36170086419038324-3689348814741910295,Dates.Date,1
6156937963640770,0,25,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,6156937963640770,1,25,96281580976796--48226781892051102-3689348814741910301,Dates.Date,1
5321298833661919,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,12.0,5321298833661919,1,1,-234302850446724--54255129628557491-3689348814741910297,Dates.Date,1
3794394916182309,0,-108,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,3794394916182309,1,-108,"ArgumentError(""Day: -108 out of range (1:31)"")",ArgumentError,1
3501379753981924,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,3501379753981924,1,-8,"ArgumentError(""Day: -8 out of range (1:31)"")",ArgumentError,1
2161869016619440,0,26,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,2161869016619440,1,26,141650222398116-24113390946025555-05,Dates.Date,1
2116192190074460,-1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,2116192190074460,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
2014812323703538,0,54,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,2014812323703538,1,54,"ArgumentError(""Day: 54 out of range (1:31)"")",ArgumentError,1
