year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
7247773491121634571,99999,34227058561067568,"ArgumentError(""Month: 99999 out of range (1:12)"")",ArgumentError,1.0,7247773491121634571,100000,34227058561067568,"ArgumentError(""Month: 100000 out of range (1:12)"")",ArgumentError,1
1721983623717898768,0,225521273,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,1721983623717898768,1,225521273,"ArgumentError(""Day: 225521273 out of range (1:31)"")",ArgumentError,1
1274850532429344814,2,-10000000000,"ArgumentError(""Day: -10000000000 out of range (1:28)"")",ArgumentError,1.0,1274850532429344814,2,-9999999999,"ArgumentError(""Day: -9999999999 out of range (1:28)"")",ArgumentError,1
291812466642130034,-100,-27436247,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,291812466642130034,-99,-27436247,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,1
81800020428589811,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,81800020428589811,1,1,-18840737373825-12056695473012770--7378697629483820641,Dates.Date,1
23607779609534144,0,-1293,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,23607779609534144,1,-1293,"ArgumentError(""Day: -1293 out of range (1:31)"")",ArgumentError,1
14569746600584664,0,12,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,14569746600584664,1,12,-76839657519937-54255129628557498-3689348814741910334,Dates.Date,1
4769589255928094,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,7.0,4769589255928094,1,1,224096968930115-54255129628557495-31,Dates.Date,1
4239480404371422,0,-293431601708429223,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,16.0,4239480404371422,1,-293431601708429223,"ArgumentError(""Day: -293431601708429223 out of range (1:31)"")",ArgumentError,1
3456227520661358,0,8297048,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,3456227520661358,1,8297048,"ArgumentError(""Day: 8297048 out of range (1:31)"")",ArgumentError,1
45824960322101,0,635561669,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,45824960322101,1,635561669,"ArgumentError(""Day: 635561669 out of range (1:31)"")",ArgumentError,1
21477115902600,0,-4455392,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,21477115902600,1,-4455392,"ArgumentError(""Day: -4455392 out of range (1:31)"")",ArgumentError,1
12648225479309,99,14,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,12648225479309,100,14,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
8257819474670,-1000,31,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,8257819474670,-999,31,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
6311293061872,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,6311293061872,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
6146748523105,-1000,3,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,6146748523105,-999,3,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
