h,w,output,type,metric,n_h,n_w,n_output,n_type,count
1724564803028477552,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1724564803028477552,0,Underweight,String,1
915687139201174969,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,915687139201174969,0,Underweight,String,1
255508801998018650,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,255508801998018650,0,Underweight,String,1
136391382207769115,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,136391382207769115,0,Underweight,String,1
112230098773494411,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,112230098773494411,0,Underweight,String,1
30956375893007831,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,30956375893007831,0,Underweight,String,1
22817033805794154,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,22817033805794154,0,Underweight,String,1
4345396015455881,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4345396015455881,0,Underweight,String,1
450533572522905,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,450533572522905,0,Underweight,String,1
430889462531774,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,430889462531774,0,Underweight,String,1
386477402801124,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,386477402801124,0,Underweight,String,1
37004877721551,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,37004877721551,0,Underweight,String,1
15292349404995,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,15292349404995,0,Underweight,String,1
2110289094909,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2110289094909,0,Underweight,String,1
938838769924,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,938838769924,0,Underweight,String,1
356659991103,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,356659991103,0,Underweight,String,1
334419083847,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,334419083847,0,Underweight,String,1
159979949458,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,159979949458,0,Underweight,String,1
39108087860,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,39108087860,0,Underweight,String,1
23577862028,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,23577862028,0,Underweight,String,1
16280631601,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,16280631601,0,Underweight,String,1
15220561105,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,15220561105,0,Underweight,String,1
3356981650,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3356981650,0,Underweight,String,1
2638331043,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2638331043,0,Underweight,String,1
2284345580,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2284345580,0,Underweight,String,1
1728300048,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1728300048,0,Underweight,String,1
1509846136,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1509846136,0,Underweight,String,1
1492161230,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1492161230,0,Underweight,String,1
1160960141,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1160960141,0,Underweight,String,1
1058568228,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1058568228,0,Underweight,String,1
907329618,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,907329618,0,Underweight,String,1
749404522,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,749404522,0,Underweight,String,1
645108709,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,645108709,0,Underweight,String,1
617964633,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,617964633,0,Underweight,String,1
612822339,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,612822339,0,Underweight,String,1
