h,w,output,type,metric,n_h,n_w,n_output,n_type,count
8645627797395576743,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8645627797395576743,0,Underweight,String,1
8035981240904118550,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8035981240904118550,0,Underweight,String,1
6286528650667379800,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6286528650667379800,0,Underweight,String,1
6152771919511535269,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6152771919511535269,0,Underweight,String,1
5623309935574565359,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5623309935574565359,0,Underweight,String,1
4911018832775596327,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4911018832775596327,0,Underweight,String,1
4423094501386819346,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4423094501386819346,0,Underweight,String,1
4331285736020377111,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4331285736020377111,0,Underweight,String,1
3908480955638251719,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3908480955638251719,0,Underweight,String,1
3646073561713216635,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3646073561713216635,0,Underweight,String,1
3591059208706457165,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3591059208706457165,0,Underweight,String,1
3490896643087252089,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3490896643087252089,0,Underweight,String,1
3405754370381032226,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3405754370381032226,0,Underweight,String,1
2989626608702977295,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2989626608702977295,0,Underweight,String,1
2861439612915479077,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2861439612915479077,0,Underweight,String,1
2771990179219436363,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2771990179219436363,0,Underweight,String,1
2609422789723438406,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2609422789723438406,0,Underweight,String,1
2212251720588301024,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2212251720588301024,0,Underweight,String,1
2186204056059179617,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2186204056059179617,0,Underweight,String,1
2083715377337824259,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2083715377337824259,0,Underweight,String,1
2082856808983352421,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2082856808983352421,0,Underweight,String,1
1985992961427361593,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1985992961427361593,0,Underweight,String,1
