bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,138
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,447
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,60
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,139
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,187
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,421
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,452
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,482
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,487
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,479
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,472
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,467
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,455
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,496
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,860
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,1053
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,1109
999949,999.9 kB,String,2.0,999950,1.0 MB,String,1395
99949,99.9 kB,String,1.0,99950,100.0 kB,String,1068
9950,9.9 kB,String,1.0,9951,10.0 kB,String,2328
999,999B,String,2.0,1000,1.0 kB,String,1956
99,99B,String,1.0,100,100B,String,4348
9,9B,String,1.0,10,10B,String,9048
false,falseB,String,1.0,true,trueB,String,9352
-1,-1B,String,1.0,0,0B,String,7874
-10,-10B,String,1.0,-9,-9B,String,3628
-100,-100B,String,1.0,-99,-99B,String,2297
-1000,-1000B,String,1.0,-999,-999B,String,1169
-10000,-10000B,String,1.0,-9999,-9999B,String,1547
-100000,-100000B,String,1.0,-99999,-99999B,String,795
-1000000,-1000000B,String,1.0,-999999,-999999B,String,1153
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,796
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,806
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,600
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,355
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,351
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,351
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,341
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,378
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,401
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,347
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,350
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,325
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,107
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,110
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,79
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,178
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,113
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,141
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,117
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,117
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,141
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,118
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,127
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,83
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,25
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,6
