year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
8199606574227637084,0,7302,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,8199606574227637084,1,7302,"ArgumentError(""Day: 7302 out of range (1:31)"")",ArgumentError,1
8172411111149187440,0,-5,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,8172411111149187440,1,-5,"ArgumentError(""Day: -5 out of range (1:31)"")",ArgumentError,1
7932900517827470966,0,10857,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,7932900517827470966,1,10857,"ArgumentError(""Day: 10857 out of range (1:31)"")",ArgumentError,1
3355174296778929792,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,9.0,3355174296778929792,1,1,95934275865352-18085043209519165-7378697629483820654,Dates.Date,1
2950446504982924573,0,-361,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,2950446504982924573,1,-361,"ArgumentError(""Day: -361 out of range (1:31)"")",ArgumentError,1
1856551178583072829,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,12.0,1856551178583072829,1,1,-29893306324264--24113390946025545--3689348814741910342,Dates.Date,1
1706767800799555312,0,106812523587,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,1706767800799555312,1,106812523587,"ArgumentError(""Day: 106812523587 out of range (1:31)"")",ArgumentError,1
1455433686581344337,0,6,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,1455433686581344337,1,6,-133954655119868-12056695473012774--3689348814741910317,Dates.Date,1
749973279681841597,-1,2157,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,749973279681841597,0,2157,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
715783954237489585,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,11.0,715783954237489585,1,1,121446384585428--18085043209519161-3689348814741910299,Dates.Date,1
613045291938598801,2,0,"ArgumentError(""Day: 0 out of range (1:28)"")",ArgumentError,11.0,613045291938598801,2,1,-91112107573145--36170086419038322-3689348814741910312,Dates.Date,1
434917503682258821,0,66788498,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,434917503682258821,1,66788498,"ArgumentError(""Day: 66788498 out of range (1:31)"")",ArgumentError,1
397289686981453125,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,397289686981453125,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
261296202017206844,0,-364361814,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,261296202017206844,1,-364361814,"ArgumentError(""Day: -364361814 out of range (1:31)"")",ArgumentError,1
256789961271359355,12,1,222174405251162-48226781892051110-02,Dates.Date,10.0,256789961271359355,13,1,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
238895537038752561,0,552471119,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,238895537038752561,1,552471119,"ArgumentError(""Day: 552471119 out of range (1:31)"")",ArgumentError,1
205591655230235195,0,-33005,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,205591655230235195,1,-33005,"ArgumentError(""Day: -33005 out of range (1:31)"")",ArgumentError,1
174913983049537303,0,7936910891,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,174913983049537303,1,7936910891,"ArgumentError(""Day: 7936910891 out of range (1:31)"")",ArgumentError,1
169057343506773621,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,12.0,169057343506773621,1,1,-135980509262295--30141738682531941-7378697629483820630,Dates.Date,1
135368175842922660,0,206056813280359,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12.0,135368175842922660,1,206056813280359,"ArgumentError(""Day: 206056813280359 out of range (1:31)"")",ArgumentError,1
128628990417548229,0,4313,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,128628990417548229,1,4313,"ArgumentError(""Day: 4313 out of range (1:31)"")",ArgumentError,1
94877745227599920,0,7803,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,94877745227599920,1,7803,"ArgumentError(""Day: 7803 out of range (1:31)"")",ArgumentError,1
78227131185783750,0,7,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,78227131185783750,1,7,-56347090292570--30141738682531935--7378697629483820674,Dates.Date,1
62525909531857005,0,7,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,62525909531857005,1,7,-100873089004050-24113390946025554-3689348814741910350,Dates.Date,1
61024455665951448,1,31,-87162859243614-6028347736506390-3689348814741910344,Dates.Date,8.0,61024455665951448,1,32,"ArgumentError(""Day: 32 out of range (1:31)"")",ArgumentError,1
56087458140657370,0,93,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,56087458140657370,1,93,"ArgumentError(""Day: 93 out of range (1:31)"")",ArgumentError,1
54529568320778260,0,48591,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,54529568320778260,1,48591,"ArgumentError(""Day: 48591 out of range (1:31)"")",ArgumentError,1
54354822567155749,0,-6,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,54354822567155749,1,-6,"ArgumentError(""Day: -6 out of range (1:31)"")",ArgumentError,1
51817845342360247,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,51817845342360247,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
32378875240344451,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,32378875240344451,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
30938725685014073,0,20,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,30938725685014073,1,20,130389073138877-6028347736506384--7378697629483820641,Dates.Date,1
24082102415776149,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,24082102415776149,1,1,-160523114879743-48226781892051111-7378697629483820669,Dates.Date,1
23501315447116334,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,23501315447116334,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
23154339509360365,0,26351980,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,23154339509360365,1,26351980,"ArgumentError(""Day: 26351980 out of range (1:31)"")",ArgumentError,1
22329072131180798,2,28,106665394746230-24113390946025560-7378697629483820657,Dates.Date,9.0,22329072131180798,2,29,"ArgumentError(""Day: 29 out of range (1:28)"")",ArgumentError,1
17071854108716717,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,12.0,17071854108716717,1,1,-100005642164541--36170086419038324-7378697629483820622,Dates.Date,1
15404607272530556,0,71,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,15404607272530556,1,71,"ArgumentError(""Day: 71 out of range (1:31)"")",ArgumentError,1
14115838415939497,0,165704839,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,14115838415939497,1,165704839,"ArgumentError(""Day: 165704839 out of range (1:31)"")",ArgumentError,1
11420090564716000,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,11.0,11420090564716000,3,1,-196167502056615-18085043209519169-3689348814741910353,Dates.Date,1
10488536259949230,0,1889,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,10488536259949230,1,1889,"ArgumentError(""Day: 1889 out of range (1:31)"")",ArgumentError,1
7413830884582761,0,327874,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,7413830884582761,1,327874,"ArgumentError(""Day: 327874 out of range (1:31)"")",ArgumentError,1
6976124998348881,-10,34,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,6976124998348881,-9,34,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
5949395432045020,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,12.0,5949395432045020,1,1,-111260950618954--48226781892051103-3689348814741910308,Dates.Date,1
4588968417302284,0,6,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,4588968417302284,1,6,43476130304305-54255129628557496-04,Dates.Date,1
4128813009736269,0,-1596,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,4128813009736269,1,-1596,"ArgumentError(""Day: -1596 out of range (1:31)"")",ArgumentError,1
3356362773111946,0,-450496,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,3356362773111946,1,-450496,"ArgumentError(""Day: -450496 out of range (1:31)"")",ArgumentError,1
2853516816936467,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,2853516816936467,1,1,-176811374395519-36170086419038330-30,Dates.Date,1
2766741119532102,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,7.0,2766741119532102,3,1,241467626755447-30141738682531944-18,Dates.Date,1
2048012576054617,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,2048012576054617,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
2043241230848207,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,2043241230848207,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
1383005269788679,0,7,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,1383005269788679,1,7,-132158825877314-18085043209519166-06,Dates.Date,1
1216475154527150,10,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,7.0,1216475154527150,10,1,206365757416489-12056695473012774-19,Dates.Date,1
664945170063678,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,664945170063678,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1
463307482528577,2,0,"ArgumentError(""Day: 0 out of range (1:28)"")",ArgumentError,8.0,463307482528577,2,1,-41747216026754-6028347736506390-12,Dates.Date,1
461733970023851,0,20,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,461733970023851,1,20,-43320728531480-6028347736506389-30,Dates.Date,1
436022385430185,0,85,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,436022385430185,1,85,"ArgumentError(""Day: 85 out of range (1:31)"")",ArgumentError,1
431453650453807,0,1883,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,431453650453807,1,1883,"ArgumentError(""Day: 1883 out of range (1:31)"")",ArgumentError,1
418994700825573,0,-1940,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,418994700825573,1,-1940,"ArgumentError(""Day: -1940 out of range (1:31)"")",ArgumentError,1
406945880090964,0,22337,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,406945880090964,1,22337,"ArgumentError(""Day: 22337 out of range (1:31)"")",ArgumentError,1
329242219118251,10,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,7.0,329242219118251,10,1,-175812479437079-6028347736506386-10,Dates.Date,1
323453454034112,0,49,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,323453454034112,1,49,"ArgumentError(""Day: 49 out of range (1:31)"")",ArgumentError,1
277843132628052,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,7.0,277843132628052,6,1,-227211565927278-6028347736506382-12,Dates.Date,1
250628257642528,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,250628257642528,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
221307517916047,0,-1200,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,221307517916047,1,-1200,"ArgumentError(""Day: -1200 out of range (1:31)"")",ArgumentError,1
217122097504573,0,12,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,24.0,217122097504573,1,12,217122097504573-01-12,Dates.Date,1
210909072169578,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,210909072169578,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
175147419644579,0,59,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,175147419644579,1,59,"ArgumentError(""Day: 59 out of range (1:31)"")",ArgumentError,1
122058806601949,3,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,122058806601949,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
