h,w,output,type,metric,n_h,n_w,n_output,n_type,count
1,1037277,10372770000.0,String,1.0,2,1037277,2593192500.0,String,1
1,278300,2783000000.0,String,1.0,2,278300,695750000.0,String,1
1,232895,2328950000.0,String,1.0,2,232895,582237500.0,String,1
1,183046,1830460000.0,String,1.0,2,183046,457615000.0,String,1
1,165830,1658300000.0,String,1.0,2,165830,414575000.0,String,1
1,161476,1614760000.0,String,1.0,2,161476,403690000.0,String,1
1,33337,333370000.0,String,1.0,2,33337,83342500.0,String,1
1,28911,289110000.0,String,1.0,2,28911,72277500.0,String,1
1,26504,265040000.0,String,1.0,2,26504,66260000.0,String,1
1,26205,262050000.0,String,1.0,2,26205,65512500.0,String,1
1,22876,228760000.0,String,1.0,2,22876,57190000.0,String,1
1,17000,170000000.0,String,1.0,2,17000,42500000.0,String,1
1,15650,156500000.0,String,1.0,2,15650,39125000.0,String,1
1,12324,123240000.0,String,1.0,2,12324,30810000.0,String,1
1,11178,111780000.0,String,1.0,2,11178,27945000.0,String,1
1,10743,107430000.0,String,1.0,2,10743,26857500.0,String,1
1,3821,38210000.0,String,1.0,2,3821,9552500.0,String,1
1,3687,36870000.0,String,1.0,2,3687,9217500.0,String,1
1,2660,26600000.0,String,1.0,2,2660,6650000.0,String,1
1,2401,24010000.0,String,1.0,2,2401,6002500.0,String,1
1,2266,22660000.0,String,1.0,2,2266,5665000.0,String,1
1,2094,20940000.0,String,1.0,2,2094,5235000.0,String,1
1,1936,19360000.0,String,1.0,2,1936,4840000.0,String,1
1,1762,17620000.0,String,1.0,2,1762,4405000.0,String,1
1,1559,15590000.0,String,1.0,2,1559,3897500.0,String,1
1,1335,13350000.0,String,1.0,2,1335,3337500.0,String,1
1,1043,10430000.0,String,1.0,2,1043,2607500.0,String,1
1,382,3820000.0,String,1.0,2,382,955000.0,String,1
1,259,2590000.0,String,1.0,2,259,647500.0,String,1
