h,w,output,type,metric,n_h,n_w,n_output,n_type,count
6957997883006271493,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6957997883006271493,0,Underweight,String,1
3603762434975050065,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3603762434975050065,0,Underweight,String,1
2946166509842421572,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2946166509842421572,0,Underweight,String,1
1256776906396481626,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1256776906396481626,0,Underweight,String,1
1137507072188447847,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1137507072188447847,0,Underweight,String,1
463701131520944003,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,463701131520944003,0,Underweight,String,1
250239534055419037,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,250239534055419037,0,Underweight,String,1
142811641410270796,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,142811641410270796,0,Underweight,String,1
91491994462799563,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,91491994462799563,0,Underweight,String,1
70015801249896263,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,70015801249896263,0,Underweight,String,1
45646581675946313,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,45646581675946313,0,Underweight,String,1
40892704370644962,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,40892704370644962,0,Underweight,String,1
37992213911924366,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,37992213911924366,0,Underweight,String,1
35057852942644003,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,35057852942644003,0,Underweight,String,1
22463192157377175,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,22463192157377175,0,Underweight,String,1
21765195975579878,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,21765195975579878,0,Underweight,String,1
10970576390994107,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,10970576390994107,0,Underweight,String,1
9303820082660575,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,9303820082660575,0,Underweight,String,1
6411957592600752,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6411957592600752,0,Underweight,String,1
1059212816732893,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1059212816732893,0,Underweight,String,1
491771929747397,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,491771929747397,0,Underweight,String,1
446181840380398,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,446181840380398,0,Underweight,String,1
213371432119583,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,213371432119583,0,Underweight,String,1
