year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
-7747877,0,59,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-7747877,1,59,"ArgumentError(""Day: 59 out of range (1:31)"")",ArgumentError,12
-783,-1,7234,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-783,0,7234,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12
-8,-100000,0,"ArgumentError(""Month: -100000 out of range (1:12)"")",ArgumentError,1.0,-8,-99999,0,"ArgumentError(""Month: -99999 out of range (1:12)"")",ArgumentError,12
-8,0,44491,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-8,1,44491,"ArgumentError(""Day: 44491 out of range (1:31)"")",ArgumentError,12
-8,3,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,-8,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,12
-876,12,12,-0876-12-12,Dates.Date,35.0,-876,13,12,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,12
-9,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-9,1,-8,"ArgumentError(""Day: -8 out of range (1:31)"")",ArgumentError,12
-991601220693,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,24.0,-991601220693,5,1,-991601220693-05-01,Dates.Date,12
-994,999999999999,-2297722,"ArgumentError(""Month: 999999999999 out of range (1:12)"")",ArgumentError,1.0,-994,1000000000000,-2297722,"ArgumentError(""Month: 1000000000000 out of range (1:12)"")",ArgumentError,12
0,-1,-3510,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,0,0,-3510,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12
0,-10,-1,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,0,-9,-1,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,12
0,-10,14,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,0,-9,14,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,12
0,-100,-2376,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,0,-99,-2376,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,12
0,0,-4354,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,0,1,-4354,"ArgumentError(""Day: -4354 out of range (1:31)"")",ArgumentError,12
0,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,0,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,420
0,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,0,1,2,0000-01-02,Dates.Date,48
0,0,24535001,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,0,1,24535001,"ArgumentError(""Day: 24535001 out of range (1:31)"")",ArgumentError,12
0,0,27,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,0,1,27,0000-01-27,Dates.Date,12
0,0,3,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,0,1,3,0000-01-03,Dates.Date,108
0,0,381390,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,0,1,381390,"ArgumentError(""Day: 381390 out of range (1:31)"")",ArgumentError,12
0,0,43,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,0,1,43,"ArgumentError(""Day: 43 out of range (1:31)"")",ArgumentError,12
0,0,8612,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,0,1,8612,"ArgumentError(""Day: 8612 out of range (1:31)"")",ArgumentError,12
0,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,0,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,48
0,1,31,0000-01-31,Dates.Date,34.0,0,1,32,"ArgumentError(""Day: 32 out of range (1:31)"")",ArgumentError,12
0,12,1,0000-12-01,Dates.Date,36.0,0,13,1,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,12
0,12,3,0000-12-03,Dates.Date,36.0,0,13,3,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,24
0,12,58,"ArgumentError(""Day: 58 out of range (1:31)"")",ArgumentError,2.0,0,13,58,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,12
0,12,736217,"ArgumentError(""Day: 736217 out of range (1:31)"")",ArgumentError,2.0,0,13,736217,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,12
0,2,0,"ArgumentError(""Day: 0 out of range (1:29)"")",ArgumentError,33.0,0,2,1,0000-02-01,Dates.Date,60
0,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,33.0,0,5,1,0000-05-01,Dates.Date,36
0,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,33.0,0,6,1,0000-06-01,Dates.Date,24
0,99,1,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,0,100,1,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,12
0,9999,15391,"ArgumentError(""Month: 9999 out of range (1:12)"")",ArgumentError,1.0,0,10000,15391,"ArgumentError(""Month: 10000 out of range (1:12)"")",ArgumentError,12
0,999999,0,"ArgumentError(""Month: 999999 out of range (1:12)"")",ArgumentError,1.0,0,1000000,0,"ArgumentError(""Month: 1000000 out of range (1:12)"")",ArgumentError,12
0,999999999,109,"ArgumentError(""Month: 999999999 out of range (1:12)"")",ArgumentError,1.0,0,1000000000,109,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",ArgumentError,12
1,-1,-10,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,1,0,-10,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12
1,-1,-53,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,1,0,-53,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12
1,-1,1,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,1,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,60
1,-10000,3,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,1,-9999,3,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,12
1,0,-490550480,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,1,1,-490550480,"ArgumentError(""Day: -490550480 out of range (1:31)"")",ArgumentError,12
1,0,-9676898,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,1,1,-9676898,"ArgumentError(""Day: -9676898 out of range (1:31)"")",ArgumentError,12
1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,168
