bytes,output,type,metric,n_bytes,n_output,n_type,count
999,999B,String,2.0,1000,1.0 kB,String,2
99,99B,String,1.0,100,100B,String,27
9,9B,String,1.0,10,10B,String,182
-1,-1B,String,1.0,0,0B,String,2918
-10,-10B,String,1.0,-9,-9B,String,177
-100,-100B,String,1.0,-99,-99B,String,20
-1000,-1000B,String,1.0,-999,-999B,String,3
