bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,13
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,34
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,5
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,12
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,16
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,29
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,53
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,39
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,47
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,35
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,44
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,44
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,49
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,55
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,74
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,118
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,103
999949,999.9 kB,String,2.0,999950,1.0 MB,String,155
99949,99.9 kB,String,1.0,99950,100.0 kB,String,99
9950,9.9 kB,String,1.0,9951,10.0 kB,String,213
999,999B,String,2.0,1000,1.0 kB,String,226
99,99B,String,1.0,100,100B,String,408
9,9B,String,1.0,10,10B,String,886
false,falseB,String,1.0,true,trueB,String,918
-1,-1B,String,1.0,0,0B,String,717
-10,-10B,String,1.0,-9,-9B,String,348
-100,-100B,String,1.0,-99,-99B,String,224
-1000,-1000B,String,1.0,-999,-999B,String,109
-10000,-10000B,String,1.0,-9999,-9999B,String,177
-100000,-100000B,String,1.0,-99999,-99999B,String,70
-1000000,-1000000B,String,1.0,-999999,-999999B,String,94
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,68
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,75
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,62
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,34
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,37
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,37
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,34
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,23
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,41
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,34
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,40
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,33
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,16
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,13
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,6
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,18
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,18
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,19
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,17
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,5
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,4
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,9
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,15
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,5
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,2
