bytes,output,type,metric,n_bytes,n_output,n_type,count
999,999B,String,2.0,1000,1.0 kB,String,1
99,99B,String,1.0,100,100B,String,378
9,9B,String,1.0,10,10B,String,387
false,falseB,String,1.0,true,trueB,String,23970
-1,-1B,String,1.0,0,0B,String,197
-10,-10B,String,1.0,-9,-9B,String,184
-100,-100B,String,1.0,-99,-99B,String,180
