bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,26
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,94
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,17
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,25
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,36
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,27
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,17
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,27
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,28
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,23
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,24
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,24
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,29
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,31
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,33
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,37
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,30
999949,999.9 kB,String,2.0,999950,1.0 MB,String,34
99949,99.9 kB,String,1.0,99950,100.0 kB,String,26
9950,9.9 kB,String,1.0,9951,10.0 kB,String,23
999,999B,String,2.0,1000,1.0 kB,String,10
99,99B,String,1.0,100,100B,String,35
9,9B,String,1.0,10,10B,String,24
-1,-1B,String,1.0,0,0B,String,50
-10,-10B,String,1.0,-9,-9B,String,25
-100,-100B,String,1.0,-99,-99B,String,37
-1000,-1000B,String,1.0,-999,-999B,String,22
-10000,-10000B,String,1.0,-9999,-9999B,String,29
-100000,-100000B,String,1.0,-99999,-99999B,String,23
-1000000,-1000000B,String,1.0,-999999,-999999B,String,38
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,29
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,26
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,26
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,27
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,26
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,31
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,33
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,31
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,25
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,23
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,20
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,26
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,29
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,22
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,28
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,39
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,19
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,32
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,37
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,21
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,25
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,25
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,25
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,12
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,8
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,1
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,1
